provision_id,source_type,part_chapter,article_section,title,verbatim_text_excerpt,simplified_explanation,keywords,landmark_case_1,lc1_year,lc1_holding_summary,landmark_case_2,lc2_year,lc2_holding_summary,upsc_relevance,category,enforcement_year,nodal_ministry,legal_classification,punishment_quantum,exceptions_and_limitations,cross_references,bench_strength,current_precedent_status,primary_source_url,current_law_mapping,row_status
IND-074,Statute,Major Central Legislations,Digital Personal Data Protection Act 2023,Digital Personal Data Protection Act 2023,A Data Principal shall have a right to obtain from a Data Fiduciary a summary of the personal data being processed; to know the identities of all other Data Fiduciaries and Data Processors with whom the personal data has been shared,"India's first comprehensive data protection law implementing the right to privacy under Article 21. Requires consent for processing personal data. Data Principals (individuals) have rights to access, correction, erasure, and grievance redressal. Data Protection Board adjudicates complaints. Significant financial penalties for breaches.","DPDP Act,Data Protection,Personal Data,Consent,Data Principal,Data Fiduciary,Privacy",KS Puttaswamy v. Union of India,2017.0,Right to Privacy is a Fundamental Right; data protection legislation is constitutionally mandated,Justice Srikrishna Committee Report,2018.0,Foundational report that recommended data protection framework eventually enacted as DPDP 2023,High,Statutory Laws - Digital,2023,Ministry of Electronics and Information Technology,Not applicable,Schedule-linked monetary penalties; contraventions can attract penalties up to ₹250 crore depending on the breach.,Contains statutory exemptions and legitimate-use grounds; balance is subject to rules and government notifications.,Article 21; IT Act 2000; data fiduciary/digital governance framework,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-075,Constitutional Doctrine,Election Law,Model Code of Conduct,Model Code of Conduct — Constitutional Basis,The Model Code of Conduct (MCC) is a set of guidelines issued by the Election Commission of India for the conduct of political parties and candidates during elections. It comes into force from the date of announcement of election schedule.,"The MCC has no statutory basis but derives its force from Article 324 (Election Commission's superintendence, direction, and control of elections). It prohibits use of government machinery and resources for election campaigning, communal appeals, and bribery. The Election Commission enforces it through moral and constitutional authority. Violators face derecognition, candidate disqualification.","Model Code of Conduct,Election Commission,Article 324,Free and Fair Elections,Government Machinery",T.N. Seshan v. Union of India,1995.0,Election Commission has wide powers under Article 324 to ensure free and fair elections including enforcement of MCC,Union of India v. Association for Democratic Reforms,2002.0,Election Commission can direct disclosure of criminal and financial background of candidates,High,Election Law,1995,Ministry of Law and Justice,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Bench Strength Not Specified,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-076,Constitution,Part III - Fundamental Rights,Article 18,Abolition of Titles,"No title, not being a military or academic distinction, shall be conferred by the State. No citizen of India shall accept any title from any foreign State","The State cannot confer titles like Sir, Rai Bahadur, or Khan Bahadur. Only military (Param Vir Chakra, Arjun Award) and academic distinctions are allowed. Bharat Ratna, Padma awards were challenged but SC held they are not 'titles' as they carry no hereditary privilege or legal rights.","Abolition of Titles,Bharat Ratna,Padma Awards,Foreign Titles,Equality",Balaji Raghavan v. Union of India,1996.0,Bharat Ratna and Padma awards are not titles under Article 18; they do not confer any legal right or privilege,Revathi v. Union of India,1988.0,"National honours like Padma Vibhushan are forms of recognition, not titles prohibited by Article 18",High,Fundamental Rights - Right to Equality,1996,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-077,Constitution,Part III - Fundamental Rights,Article 19(1)(a),Freedom of Speech and Expression,All citizens shall have the right to freedom of speech and expression,"Freedom of speech and expression includes press freedom, right to broadcast, commercial speech, right to remain silent, right to information, right to dissent, artistic expression, and academic freedom. Reasonable restrictions under Article 19(2) include sovereignty, integrity, security of state, public order, decency, morality, contempt of court, defamation, and incitement.","Free Speech,Press Freedom,Right to Information,Commercial Speech,Right to Silence,19(2) Restrictions",Shreya Singhal v. Union of India,2015.0,Section 66A IT Act struck down; online speech has same constitutional protection as offline speech,Indian Express Newspapers v. Union of India,1985.0,Freedom of press is integral to Article 19(1)(a); import duties on newsprint can restrict press freedom,High,Fundamental Rights - Right to Freedom,2015,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,"Subject to reasonable restrictions in Article 19(2): sovereignty and integrity, security of State, friendly relations, public order, decency, morality, contempt of court, defamation, and incitement to an offence.",Article 19(2); RTI Act 2005; IT Act 2000; Shreya Singhal v. Union of India,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-078,Constitution,Part III - Fundamental Rights,Article 19(1)(b),Freedom of Assembly,All citizens shall have the right to assemble peaceably and without arms,"Citizens have the right to hold public meetings and demonstrations. Must be peaceful and unarmed. State can impose reasonable restrictions under Article 19(3) in interests of sovereignty, integrity, or public order. Police cannot pre-emptively ban assemblies without evidence of likely breach of peace.","Assembly,Peaceful Assembly,Demonstration,Public Meeting,Section 163 (formerly Section 144) BNSS",Babulal Parate v. State of Bombay,1961.0,Restrictions under Section 163 (formerly Section 144) BNSS on assembly must satisfy the test of reasonable restriction under Article 19(3),Ramlila Maidan Incident v. Home Secretary Union of India,2012.0,Lathi-charging peaceful assembly at night without sufficient warning violates Articles 19 and 21,High,Fundamental Rights - Right to Freedom,1961,Ministry of Home Affairs,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Bharatiya Nyaya Sanhita (BNS) / BNSS Framework,Active
IND-079,Constitution,Part III - Fundamental Rights,Article 19(1)(c),Freedom of Association,All citizens shall have the right to form associations or unions or co-operative societies,"Citizens can form trade unions, political parties, companies, clubs, religious bodies. This right includes the right NOT to join an association. But it does not include a right to recognition of the association. Compulsory trade union membership violates this right.","Association,Trade Union,Political Party,Right Not to Join,Co-operative Society",All India Bank Employees Association v. National Industrial Tribunal,1962.0,Right to form trade union does not include right to strike or right to recognition,Damayanti Naranga v. Union of India,1971.0,Compulsory merger of cooperative societies violates Article 19(1)(c),High,Fundamental Rights - Right to Freedom,1962,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-080,Constitution,Part III - Fundamental Rights,Article 19(1)(d) & (e),Freedom of Movement and Residence,All citizens shall have the right to move freely throughout the territory of India and to reside and settle in any part of the territory of India,Citizens can travel anywhere in India and settle anywhere. Reasonable restrictions in the interests of general public or protection of Scheduled Tribes are permitted. This includes protection of tribal areas from non-tribal influx. Inner Line Permit system for Northeast states is a restriction under this clause.,"Freedom of Movement,Residence,Settlement,Inner Line Permit,Scheduled Tribes,Restrictions",State of UP v. Kaushaliya,1964.0,Externment orders restricting movement must satisfy test of reasonable restriction for public interest,Ebrahim Vazir Mavat v. State of Bombay,1954.0,Indian citizens cannot be prevented from returning to India; their right of entry is absolute,High,Fundamental Rights - Right to Freedom,1964,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-081,Constitution,Part III - Fundamental Rights,Article 19(1)(g),Freedom of Profession and Trade,"All citizens shall have the right to practice any profession, or to carry on any occupation, trade or business","Citizens can practice any profession or run any business. Reasonable restrictions under Article 19(6) include professional qualification requirements, State monopoly of certain trades. The State can by law carry on any trade or business. Licensing requirements and professional regulations are valid restrictions.","Profession,Trade,Business,Occupation,Licensing,State Monopoly,Reasonable Restriction",Sodan Singh v. New Delhi Municipal Committee,1989.0,Hawkers have right to carry on trade on public streets subject to reasonable regulation,Chintaman Rao v. State of MP,1950.0,Blanket ban on bidi manufacturing in certain seasons was excessive and not a reasonable restriction,High,Fundamental Rights - Right to Freedom,1989,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-082,Constitution,Part III - Fundamental Rights,Article 20,Protection in respect of conviction for offences,"No person shall be convicted of any offence except for violation of a law in force at the time of the commission of the act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission of the offence",Article 20 provides three protections: (1) No ex post facto law — cannot be convicted for an act that was not an offence when committed; (2) No double jeopardy — cannot be prosecuted twice for the same offence; (3) No self-incrimination — cannot be compelled to be a witness against oneself.,"Ex Post Facto Law,Double Jeopardy,Self Incrimination,Criminal Procedure,Protection against Conviction",M.P. Sharma v. Satish Chandra,1954.0,Right against self-incrimination under Article 20(3) extends to documents but not physical evidence,Maqbool Hussain v. State of Bombay,1953.0,Customs proceedings and criminal prosecution for same act are not double jeopardy as they are different proceedings,High,Fundamental Rights - Right to Life,1954,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-083,Constitution,Part III - Fundamental Rights,Article 28,Freedom from attending religious instruction,No religious instruction shall be provided in any educational institution wholly maintained out of State funds,State-funded schools cannot provide religious instruction. Schools maintained by religious denominations even if aided by State can provide religious instruction. Attendance at religious instruction in aided schools must be voluntary. This protects the secular character of State education.,"Secular Education,Religious Instruction,State Funded Schools,Voluntary Attendance,Secularism",DAV College v. State of Punjab,1971.0,Government-aided colleges cannot be compelled to teach a particular religion's doctrines,Aruna Roy v. Union of India,2002.0,"Teaching about religions in a comparative, secular manner in schools does not violate Article 28",High,Fundamental Rights - Cultural and Educational Rights,1971,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-084,Constitution,Part III - Fundamental Rights,Article 31A,Saving of Laws providing for acquisition of estates,"Notwithstanding anything contained in Article 13, no law providing for the acquisition by the State of any estate or of any rights therein or the extinguishment or modification of any such rights shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19","Saves land reform laws from challenge under Articles 14 and 19. Was inserted by 1st Amendment to protect zamindari abolition laws. Cannot be used to save laws violating Article 21. Along with Article 31B and Ninth Schedule, forms a comprehensive shield for agrarian reform legislation.","Land Reform,Estate Acquisition,Zamindari Abolition,First Amendment,Article 31B,Ninth Schedule",State of Bihar v. Kameshwar Singh,1952.0,Article 31A protects genuine land reform; arbitrary acquisition for non-public purpose still challengeable,Waman Rao v. Union of India,1981.0,Laws added to Ninth Schedule before 24 April 1973 are fully immune from challenge,High,Fundamental Rights - Property Related,1952,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-085,Constitution,Part III - Fundamental Rights,Article 32A / Article 226,Writ Jurisdiction — High Courts (Article 226),"Every High Court shall have power, throughout the territories in relation to which it exercises jurisdiction, to issue to any person or authority including in appropriate cases any Government, within those territories directions, orders or writs including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari","Article 226 gives High Courts wider writ jurisdiction than Supreme Court's Article 32. High Courts can issue writs for both Fundamental Rights violations AND legal rights. Article 32 is for Fundamental Rights only. When an alternative remedy exists, High Courts may decline to exercise writ jurisdiction (not an absolute bar).","Article 226,High Court,Writ Jurisdiction,Alternative Remedy,Habeas Corpus,Certiorari",Dwarkanath v. Income Tax Officer,1966.0,"Article 226 is wider than Article 32; it enables enforcement of all legal rights, not just Fundamental Rights",Whirlpool Corporation v. Registrar of Trade Marks,1998.0,Existence of alternative remedy is not an absolute bar to High Court writ jurisdiction under Article 226,High,Fundamental Rights - Constitutional Remedies,1966,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-086,Constitution,Part IV - Directive Principles,Article 38,State to secure a social order for promotion of welfare of people,"The State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice — social, economic and political — shall inform all the institutions of the national life","The first and foundational DPSP. Directs the State to create a welfare state where social, economic, and political justice is available to all. Reduces inequalities in income, status, and opportunities. This is the socialist DPSP closest to the vision of the Preamble.","Welfare State,Social Justice,Economic Justice,Political Justice,DPSP,Inequality Reduction",Minerva Mills v. Union of India,1980.0,Harmony between Fundamental Rights and DPSPs is basic structure; both must be advanced together,Unni Krishnan v. State of AP,1993.0,Right to education up to age 14 was read as Fundamental Right from Articles 21 and 45 before 86th Amendment,High,Directive Principles - Socialistic,1980,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-087,Constitution,Part IV - Directive Principles,Article 39,"Certain principles of policy — Equal Pay, Child Protection","The State shall, in particular, direct its policy towards securing: (a) that citizens have right to adequate means of livelihood; (b) that ownership of material resources subserves common good; (c) prevention of concentration of wealth; (d) equal pay for equal work; (e) protection of workers' health; (f) protection of children from exploitation",Article 39 is the most comprehensive economic DPSP. Clauses (b) and (c) were the basis of nationalisation and land reforms. Clause (d) — equal pay for equal work — has been enforced by courts in service matters. Clauses (e) and (f) protect workers and children from abuse.,"Equal Pay,Livelihood,Material Resources,Child Protection,Concentration of Wealth,DPSP",Randhir Singh v. Union of India,1982.0,Equal pay for equal work under Article 39(d) is a constitutional goal enforceable in service law,Bandhua Mukti Morcha v. Union of India,1984.0,Child labour violates Article 39(e) and (f); State has affirmative duty to eliminate it,High,Directive Principles - Socialistic,1982,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-088,Constitution,Part IV - Directive Principles,Article 39A,Equal Justice and Free Legal Aid,"The State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, and shall, in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities",Inserted by 42nd Amendment 1976. Mandates free legal aid to ensure access to justice is not denied due to poverty. National Legal Services Authority Act 1987 implements this. Right to free legal aid has been read as part of Article 21 by the Supreme Court. Lok Adalats and PLVs (Paralegal Volunteers) further this goal.,"Free Legal Aid,Equal Justice,NALSA,Legal Services,42nd Amendment,Lok Adalat",Hussainara Khatoon v. State of Bihar,1979.0,Right to free legal aid is an integral part of fair procedure under Article 21; State must provide it,M.H. Hoskot v. State of Maharashtra,1978.0,Right to legal aid is a Fundamental Right under Article 21 in criminal cases involving imprisonment,High,Directive Principles - Socialistic,1976,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-089,Constitution,Part IV - Directive Principles,Article 40,Organisation of Village Panchayats,The State shall take steps to organise village panchayats and endow them with such powers and authority as may be necessary to enable them to function as units of self-government,"The Gandhian DPSP that inspired the 73rd Amendment 1992. Gram Swaraj — Gandhian vision of village republics — was the basis. Before 1992 this was an unenforceable directive. Post-73rd Amendment, panchayati raj became constitutionally mandated. This directive shaped India's decentralization movement.","Village Panchayat,Gram Swaraj,Gandhian DPSP,Decentralization,73rd Amendment,Local Self Government",State of Rajasthan v. Vidhyawati,1962.0,DPSPs cannot be enforced against the State but guide legislative policy,Asif Hameed v. State of J&K,1989.0,DPSPs are fundamental in governance and courts must ensure legislation aligns with them,Medium,Directive Principles - Gandhian,1992,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-090,Constitution,Part IV - Directive Principles,Article 41,"Right to work, to education and to public assistance","The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education, and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want","Directs the State to provide employment, education, and social security. The phrase 'within the limits of its economic capacity' acknowledges resource constraints. MGNREGA 2005 (right to 100 days of work) implements the right to work. National Social Assistance Programme implements right to assistance for elderly, disabled, and destitute.","Right to Work,MGNREGA,Social Security,Education,Unemployment,Old Age,Disability",Olga Tellis v. Bombay Municipal Corporation,1985.0,Right to livelihood is part of right to life under Article 21; pavement dwellers cannot be evicted without rehabilitation,People's Union for Civil Liberties v. Union of India,2001.0,Right to food is part of Article 21; SC enforced DPSP through Articles 21 in mid-day meal scheme order,High,Directive Principles - Socialistic,2005,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-091,Constitution,Part IV - Directive Principles,Article 42,Provision for just and humane conditions of work,The State shall make provision for securing just and humane conditions of work and for maternity relief,"Directs the State to ensure fair working conditions and maternity benefits. Implemented through Maternity Benefit Act 1961 (amended 2017 to extend paid leave to 26 weeks), Factories Act 1948, and various labour codes. Maternity leave for surrogates and adoptive mothers was recognized based on this directive.","Maternity Benefit,Working Conditions,Labour Law,Maternity Leave,DPSP",Municipal Corporation of Delhi v. Female Workers,2000.0,Female daily wage workers entitled to maternity benefits; Article 42 must be implemented broadly,Kavita Yadav v. Secretary Ministry of Health,2020.0,Maternity benefits cannot be denied to contract workers; Article 42 mandates protection for all workers,High,Directive Principles - Socialistic,1961,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-092,Constitution,Part IV - Directive Principles,Article 43,Living wage for workers,"The State shall endeavour to secure, by suitable legislation or economic organisation or in any other way, to all workers, agricultural, industrial or otherwise, a living wage, conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities",Directs the State to ensure workers get not just minimum wages but a 'living wage' — enough for a dignified life with leisure and cultural participation. The Code on Wages 2019 consolidates four labour laws and seeks to universalize minimum wages. Courts have held that wages below minimum wage is unconstitutional.,"Living Wage,Minimum Wage,Workers Rights,Decent Standard of Life,Labour Law,Code on Wages",Workmen of M/s Hindustan Tin Works v. Employers,1979.0,Living wage principle must guide wage fixation; bare subsistence wages are inadequate,Pay Commission Reference,2008.0,Government salaries must be fixed with reference to living wage and Article 43 principles,High,Directive Principles - Socialistic,2019,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-093,Constitution,Part IV - Directive Principles,Article 43A,Participation of workers in management,"The State shall take steps, by suitable legislation or in any other way, to secure the participation of workers in the management of undertakings, establishments or other organisations engaged in any industry",Inserted by 42nd Amendment 1976. Directs the State to give workers a say in the management of industries. This is the constitutional basis for industrial democracy. The Companies Act 2013 has provisions for worker representation but full implementation remains limited. Inspired by European models of co-determination.,"Workers Participation,Management,Industrial Democracy,42nd Amendment,Co-determination",Hindustan Antibiotics Ltd v. Workmen,1967.0,Workers' participation in management strengthens industrial relations; courts encouraged such schemes,Gujarat Steel Tubes Ltd v. Gujarat Steel Tubes Mazdoor Sabha,1980.0,Industrial adjudication must balance management rights and workers participation principles,Medium,Directive Principles - Socialistic,1976,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-094,Constitution,Part IV - Directive Principles,Article 43B,Promotion of co-operative societies,"The State shall endeavour to promote voluntary formation, autonomous functioning, democratic control and professional management of co-operative societies","Inserted by 97th Amendment 2011. Directs the State to promote autonomous, democratically managed co-operative societies. The 97th Amendment also inserted Article 19(1)(c) right to form co-operative societies and Part IX-B (provisions for Co-operatives). The Supreme Court partly struck down the 97th Amendment for not getting state ratification.","Co-operative Societies,97th Amendment,Autonomous Functioning,Democratic Control,Part IX-B",Union of India v. Rajendra N. Shah,2021.0,Part IX-B of Constitution on co-operatives as inserted by 97th Amendment struck down partly as unconstitutional for want of state ratification,Gujarat Rajya Karmachari Sahakari Bank v. State of Gujarat,2019.0,Co-operative societies have right to autonomous functioning under Article 43B,High,Directive Principles - Gandhian,2011,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-095,Constitution,Part IV - Directive Principles,Article 45,Provision for early childhood care and education,The State shall endeavour to provide early childhood care and education for all children until they complete the age of six years,"Pre-86th Amendment, Article 45 directed the State to provide free compulsory education up to age 14 within 10 years. Post-86th Amendment (2002), Article 45 was amended to cover only early childhood care for children below 6. Children 6-14 are now covered by the Fundamental Right under Article 21A.","Early Childhood Care,ECCE,Anganwadi,ICDS,86th Amendment,Article 21A",Unni Krishnan v. State of AP,1993.0,Right to education up to age 14 is a Fundamental Right derived from Article 21 read with Article 45,Miss Mohini Jain v. State of Karnataka,1992.0,Right to education is a Fundamental Right; capitation fees violate this right,High,Directive Principles - Gandhian,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-096,Constitution,Part IV - Directive Principles,Article 46,"Promotion of educational and economic interests of SC, ST and weaker sections","The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation","Directs the State to give special attention to the educational and economic development of SC/ST and weaker sections. This is the constitutional basis for the vast body of reservation law, scholarship schemes, pre-matric and post-matric scholarships, and special government schools for tribal children.","SC,ST,Weaker Sections,Educational Interests,Economic Interests,Social Justice,Reservations",Indra Sawhney v. Union of India,1992.0,Article 46 read with Articles 15(4) and 16(4) permits reservations for socially and educationally backward classes,Valsamma Paul v. Cochin University,1996.0,Reservation benefits under Article 46 must be confined to the genuinely backward; not those who have advanced,High,Directive Principles - Gandhian,1992,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-097,Constitution,Part IV - Directive Principles,Article 47,Duty of State to raise level of nutrition and standard of living,"The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and drinks that are injurious to health","Directs the State to improve nutrition, public health, and work toward prohibition of alcohol. This is the constitutional basis for state prohibition laws (Gujarat, Bihar, AP). Also basis for National Food Security Act 2013 and PDS. Nutrition programmes like POSHAN Abhiyan trace their roots to this directive.","Nutrition,Public Health,Prohibition,Alcohol,Standard of Living,NFSA",State of Bombay v. F.N. Balsara,1951.0,Prohibition of alcohol is a valid exercise of state power under Article 47 and does not violate Article 19,Bijoe Emmanuel v. State of Kerala,1986.0,State health programmes mandated under Article 47 must not violate other Fundamental Rights,High,Directive Principles - Gandhian,2013,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-098,Constitution,Part IV - Directive Principles,Article 48,Organisation of agriculture and animal husbandry,"The State shall endeavour to organise agriculture and animal husbandry on modern and scientific lines and shall, in particular, take steps for preserving and improving the breeds, and prohibiting the slaughter of cows and calves and other milch and draught cattle",Directs the State to modernize agriculture and animal husbandry. The prohibition on cow slaughter is a Gandhian directive. Many states have enacted cow protection laws under this provision. The Supreme Court upheld state cow slaughter prevention laws as reasonable restrictions under Article 19(1)(g).,"Agriculture,Animal Husbandry,Cow Slaughter,Cattle Protection,Scientific Farming",Mohd. Hanif Quareshi v. State of Bihar,1958.0,Complete ban on slaughter of useful cattle is a valid restriction on trade under Article 48,State of Gujarat v. Mirzapur Moti Kureshi Kassab Jamat,2005.0,Total ban on cow slaughter upheld; bulls and bullocks serve agriculture even after their working life,High,Directive Principles - Gandhian,1958,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-099,Constitution,Part IV - Directive Principles,Article 49,Protection of monuments and places of national importance,"It shall be the obligation of the State to protect every monument or place or object of artistic or historic interest, declared by or under law made by Parliament to be of national importance, from spoliation, disfigurement, destruction, removal, disposal or export","Directs the State to protect national monuments, places of historic and artistic importance. The Ancient Monuments and Archaeological Sites and Remains Act 1958 and its 2010 Amendment implement this article. ASI (Archaeological Survey of India) protects over 3,600 centrally protected monuments.","National Monuments,Archaeological Heritage,ASI,Ancient Monuments,Cultural Heritage",M.I. Builders Pvt Ltd v. Radhey Shyam Sahu,1999.0,Construction that damages protected monuments is illegal; Lucknow underground market near Imambara demolished,Tarun Bharat Sangh v. Union of India,1993.0,Protection of natural and cultural heritage sites is a constitutional obligation under Articles 49 and 48A,Medium,Directive Principles - Liberal,1958,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
